"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"autobusy";"pozostałe";"2015";568;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"pozostałe";"2016";576;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"pozostałe";"2017";2069;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"pozostałe";"2018";2155;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"pozostałe";"2019";2195;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"benzyna";"2015";73;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"benzyna";"2016";73;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"benzyna";"2017";71;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"benzyna";"2018";72;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"benzyna";"2019";72;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"olej napędowy";"2015";20276;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"olej napędowy";"2016";22295;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"olej napędowy";"2017";22051;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"olej napędowy";"2018";23280;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"olej napędowy";"2019";24684;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"gaz (LPG)";"2015";50;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"gaz (LPG)";"2016";53;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"gaz (LPG)";"2017";42;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"gaz (LPG)";"2018";44;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"gaz (LPG)";"2019";43;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"pozostałe";"2015";604;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"pozostałe";"2016";604;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"pozostałe";"2017";2317;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"pozostałe";"2018";2412;"szt.";"";
1200000;"MAŁOPOLSKIE";"ciągniki siodłowe";"pozostałe";"2019";2708;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"benzyna";"2015";18447;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"benzyna";"2016";19547;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"benzyna";"2017";20687;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"benzyna";"2018";21158;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"benzyna";"2019";22055;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"olej napędowy";"2015";16917;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"olej napędowy";"2016";18342;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"olej napędowy";"2017";19494;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"olej napędowy";"2018";20556;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"olej napędowy";"2019";21708;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"gaz (LPG)";"2015";7979;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"gaz (LPG)";"2016";8160;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"gaz (LPG)";"2017";7976;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"gaz (LPG)";"2018";8786;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"gaz (LPG)";"2019";8918;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"pozostałe";"2015";7245;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"pozostałe";"2016";7206;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"pozostałe";"2017";7210;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"pozostałe";"2018";7274;"szt.";"";
1201000;"Powiat bocheński";"samochody osobowe";"pozostałe";"2019";7626;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"benzyna";"2015";483;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"benzyna";"2016";464;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"benzyna";"2017";462;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"benzyna";"2018";432;"szt.";"";
